Portuguese,English
parte,part
história,history
buscar,search
apenas,only
policia,police
pensamento,thought
ajuda,help
demande,request
generoso,kind
mês,month
irmão,brother
deixar,let
porque,because
colocar,to put
não,no
coleira,leash
eles,them
cidade,city
cada,each
falar,speak
vem,come
deve,should
bebê,baby
muito tempo,long time
horas,hours
vai,will
durante,while
encontrar,meet 
qualquer,any
cuadrado,square
falar,speak
entender,understood
sabia,knew
eram,were
atencão,warning
aqui,here
poderia,could
caso,case
dar,give
tipo,type
seus/suas,their
dado,given
treinar,train
corpo,body
lugar,place
olhos,eyes
jeito,way
escusta,listen
de quem,whose
achar,find
primeiro,first
perdido,lost
mão,hand
primeiro,first
lado,side
poder ,power
velho,old
ser,be
aqui,here
manhã,morning
muito ,so much
criança,child
ponto,point
veio,came
depois,after
desculpa,sorry
veio,come
enfrente de,in front of
em direção,towards
minutos,minutes
pedido,request
quarto,bedroom
colocado,placed
bonito,beautiful
lei,law
gostaria,would like to
hoje,today
marido,husband
finalmente,finally
esperança,hope
agua,water
esperar,wait
saiu,left
novo,new
trabalho,job
parar,stop
diria,would say
terra,Earth
conta,account
dado,given
longe,far
final,end
acreditar,believe
querido,sweetheart
grande,large
em vez de,rather
terá,will have
meninas,girls
brincar,to play
escritório,office
